date,ABEV3,ALOS3,ALPA4,ASAI3,AZUL4,AZZA3,B3SA3,BBAS3,BBDC3,BBDC4,BBSE3,BEEF3,BPAC11,BRAP4,BRFS3,BRKM5,CCRO3,CMIG4,CMIN3,COGN3,CPFE3,CPLE6,CRFB3,CSAN3,CSNA3,CVCB3,CYRE3,DXCO3,EGIE3,ELET3,ELET6,EMBR3,ENEV3,ENGI11,EQTL3,EZTC3,FLRY3,GGBR4,GOAU4,HAPV3,HYPE3,IGTI11,IRBR3,ITSA4,ITUB4,JBSS3,KLBN11,LREN3,LWSA3,MGLU3,MRFG3,MRVE3,MULT3,NTCO3,PCAR3,PETR3,PETR4,PETZ3,PRIO3,RADL3,RAIL3,RAIZ4,RDOR3,RECV3,RENT3,RRRP3,SANB11,SBSP3,SLCE3,SMTO3,SUZB3,TAEE11,TIMS3,TOTS3,TRPL4,UGPA3,USIM5,VALE3,VAMO3,VBBR3,VIVA3,VIVT3,WEGE3,YDUQ3
2018-01-02,17.242149353027344,,13.46201229095459,,27.149999618530273,49.035945892333984,5.966159343719482,10.598692893981934,13.208988189697266,13.96552848815918,16.133668899536133,8.47838020324707,3.830502510070801,5.5225911140441895,35.47749710083008,33.3643798828125,13.652668952941895,1.8363059759140015,,17.5061092376709,12.172857284545898,1.4395452737808228,13.491031646728516,8.852771759033203,5.7258124351501465,40.34388732910156,9.208871841430664,5.781957626342773,17.963085174560547,15.718589782714844,16.345767974853516,20.389368057250977,3.5250000953674316,20.80366325378418,11.643925666809082,16.09468650817871,21.341402053833008,6.936300754547119,3.5213305950164795,,28.787256240844727,,252.8698272705078,5.465756416320801,21.50337028503418,7.31673526763916,12.137744903564453,24.954660415649414,,22.85930633544922,4.799300670623779,10.269826889038086,20.17303466796875,,8.48797607421875,5.866183757781982,5.312315940856934,,1.7062594890594482,16.38051414489746,12.872174263000488,,,,19.493181228637695,,20.632022857666016,29.403152465820312,3.16572642326355,15.038040161132812,16.798160552978516,11.059986114501953,9.982194900512695,9.331302642822266,9.264012336730957,14.710406303405762,7.521603584289551,25.256786346435547,,,,26.064346313476562,8.6942777633667,28.881240844726562
2018-01-03,17.281896591186523,,13.133110046386719,,27.059999465942383,50.5166015625,6.067722320556641,10.733869552612305,13.265178680419922,14.029731750488281,16.14491081237793,8.416096687316895,3.86698317527771,5.5747971534729,35.22048568725586,33.08292007446289,13.553738594055176,1.8204753398895264,,17.65883445739746,12.02249813079834,1.4126654863357544,13.403939247131348,8.852771759033203,5.936902046203613,40.10933303833008,9.25035285949707,5.887084007263184,17.84239387512207,15.517817497253418,16.083820343017578,21.164403915405273,3.5350000858306885,20.80366325378418,11.666959762573242,15.963714599609375,20.923730850219727,6.925605773925781,3.509690523147583,,28.33883285522461,,252.8698272705078,5.530177593231201,21.650381088256836,7.157361030578613,11.984353065490723,25.2723331451416,,22.571041107177734,4.746705532073975,10.419156074523926,20.25400733947754,,8.48797607421875,5.940654277801514,5.360463619232178,,1.7372097969055176,15.974843978881836,12.485713005065918,,,,19.758684158325195,,20.46181869506836,28.876277923583984,3.193204879760742,15.053768157958984,16.672996520996094,11.075446128845215,9.989757537841797,9.529379844665527,9.075681686401367,14.565157890319824,7.772322654724121,25.105440139770508,,,,25.308856964111328,8.562230110168457,28.90682029724121
2018-01-04,17.186504364013672,,13.117813110351562,,27.229999542236328,52.11049270629883,6.106785297393799,10.836864471435547,13.506736755371094,14.259917259216309,16.17864227294922,8.384953498840332,3.881169557571411,5.733278751373291,35.60124588012695,33.584983825683594,13.603204727172852,1.7993688583374023,,17.8974666595459,11.934788703918457,1.4049006700515747,13.16007137298584,8.831966400146484,6.121604919433594,40.432861328125,9.326401710510254,6.035497665405273,17.611064910888672,15.417430877685547,16.315834045410156,21.661218643188477,3.507499933242798,20.471481323242188,11.534839630126953,16.225656509399414,20.505109786987305,7.299960136413574,3.63773775100708,,28.547029495239258,,255.04522705078125,5.634239196777344,22.101221084594727,7.171848773956299,12.004358291625977,25.41351890563965,,23.112979888916016,4.746705532073975,10.351278305053711,20.231670379638672,,8.48797607421875,5.991429328918457,5.370092868804932,,1.7973132133483887,16.097999572753906,12.505529403686523,,,,20.04131317138672,,20.707664489746094,28.31540870666504,3.180610418319702,15.03017807006836,16.71769905090332,10.900222778320312,9.944381713867188,9.470575332641602,8.826861381530762,14.735252380371094,8.211081504821777,25.208354949951172,,,,25.58587646484375,8.478833198547363,28.787437438964844
2018-01-05,17.250099182128906,,13.347280502319336,,27.200000762939453,50.35982894897461,6.1953277587890625,10.836864471435547,13.510834693908691,14.340690612792969,16.285449981689453,8.47838020324707,3.945340633392334,5.871249675750732,37.352752685546875,34.39893341064453,13.66091251373291,1.8020070791244507,,17.859285354614258,11.740574836730957,1.4275985956192017,13.064268112182617,8.92350959777832,6.260133266448975,40.230655670166016,9.471587181091309,6.060233116149902,17.70158576965332,15.275219917297363,15.904195785522461,20.518539428710938,3.5250000953674316,20.77275848388672,11.64841079711914,15.818192481994629,20.80103874206543,7.209046363830566,3.6493794918060303,,28.81127166748047,,258.3458251953125,5.6441497802734375,22.164934158325195,7.229803562164307,11.890986442565918,25.25821304321289,,22.657520294189453,4.786152362823486,10.500608444213867,20.379653930664062,,8.48797607421875,6.038818359375,5.402192115783691,,1.8985506296157837,16.38051414489746,12.485713005065918,,,,19.7501163482666,,20.928293228149414,28.638334274291992,3.2401466369628906,14.865007400512695,16.672996520996094,10.951760292053223,10.027567863464355,9.674842834472656,8.968454360961914,14.765832901000977,7.858506202697754,25.601858139038086,,,,25.648820877075195,8.513582229614258,28.395193099975586
2018-01-08,17.218297958374023,,13.079568862915039,,26.90999984741211,49.741432189941406,6.223973274230957,10.862613677978516,13.510834693908691,14.336658477783203,16.381017684936523,8.19031810760498,3.993684768676758,5.9737958908081055,37.790626525878906,34.45979309082031,13.471294403076172,1.8072843551635742,,17.067026138305664,11.928522109985352,1.4335724115371704,12.724594116210938,8.84653091430664,6.563574314117432,40.0608024597168,9.519981384277344,6.04168176651001,17.80215835571289,15.37560749053955,15.941617012023926,20.56822395324707,3.452500104904175,20.43285369873047,11.801027297973633,15.89095687866211,20.259714126586914,7.460400581359863,3.695943832397461,,28.514999389648438,,262.5465393066406,5.639194965362549,22.09143829345703,7.244292736053467,12.10439682006836,25.13114356994629,,22.6604061126709,4.700685024261475,10.290191650390625,20.125568389892578,,8.48797607421875,6.133598327636719,5.466389179229736,,2.0423195362091064,16.1722469329834,12.644261360168457,,,,19.65590476989746,,21.333412170410156,29.224693298339844,3.2229726314544678,14.786357879638672,17.075294494628906,10.900222778320312,9.891448020935059,9.668655395507812,8.921716690063477,14.869036674499512,7.944693565368652,26.17092514038086,,,,25.91954231262207,8.58307933807373,28.497514724731445
2018-01-09,17.170604705810547,,13.171355247497559,,26.799999237060547,49.427886962890625,6.13543176651001,10.75961971282959,13.408486366271973,14.203386306762695,16.324800491333008,8.174747467041016,3.966359853744507,5.906674385070801,37.933414459228516,34.535865783691406,13.479537963867188,1.770347237586975,,17.27702522277832,11.966114044189453,1.423417329788208,12.602662086486816,8.603105545043945,6.741682052612305,40.50565719604492,9.47850227355957,6.122073173522949,17.80215835571289,14.764932632446289,15.268026351928711,20.101213455200195,3.4749999046325684,20.680057525634766,11.801027297973633,15.563530921936035,19.675094604492188,7.503184795379639,3.69012188911438,,28.667142868041992,,262.1715087890625,5.549997806549072,21.851306915283203,6.997987270355225,11.971014976501465,25.279388427734375,,22.11558723449707,4.641515731811523,10.351278305053711,20.184207916259766,,8.48797607421875,6.133598327636719,5.466389179229736,,1.8256677389144897,15.94587516784668,12.237979888916016,,,,19.493181228637695,,21.182334899902344,28.825288772583008,3.2241177558898926,14.762763023376465,17.25409507751465,10.699223518371582,9.906573295593262,9.671748161315918,8.979454040527344,14.8117036819458,8.030877113342285,26.074060440063477,,,,25.850290298461914,8.722079277038574,28.011472702026367
2018-01-10,17.170604705810547,,12.811858177185059,,26.450000762939453,49.471431732177734,6.080743312835693,10.71456241607666,13.322500228881836,14.053958892822266,16.25734519958496,8.174747467041016,3.9390335083007812,5.845144748687744,37.209964752197266,34.16312026977539,13.149763107299805,1.7967305183410645,,17.61111068725586,12.529962539672852,1.4281961917877197,12.367504119873047,8.436661720275879,6.761472702026367,40.521827697753906,9.278008460998535,6.047865867614746,17.736787796020508,14.170989990234375,14.639344215393066,20.16083335876465,3.4000000953674316,20.023422241210938,11.710522651672363,15.534430503845215,20.317459106445312,7.401570796966553,3.7017624378204346,,28.555038452148438,,262.09649658203125,5.549997806549072,21.777793884277344,7.012476444244385,11.73759937286377,24.601696014404297,,22.340429306030273,4.634941577911377,10.371642112731934,20.078109741210938,,8.48797607421875,6.018509864807129,5.392560958862305,,1.8011071681976318,15.45871353149414,12.208250999450684,,,,19.45035743713379,,21.142932891845703,28.247426986694336,3.3031179904937744,14.597596168518066,17.352436065673828,10.554919242858887,9.67214298248291,9.646986961364746,8.93546199798584,14.697030067443848,8.030877113342285,25.710834503173828,,,,25.52290916442871,8.65257740020752,28.037059783935547
2018-01-11,17.36933708190918,,12.796562194824219,,26.549999237060547,50.08111572265625,6.1797027587890625,10.959168434143066,13.510834693908691,14.336658477783203,16.352909088134766,8.174747467041016,3.93062686920166,6.022273063659668,37.46697998046875,35.15202713012695,13.149763107299805,1.8336679935455322,,16.971572875976562,12.937186241149902,1.4275985956192017,12.472018241882324,8.521963119506836,7.157265663146973,40.92624282836914,9.644426345825195,6.091153621673584,17.560779571533203,14.388489723205566,15.006075859069824,20.369495391845703,3.450000047683716,20.22427749633789,11.779732704162598,15.60718822479248,19.906057357788086,8.005891799926758,3.888014554977417,,28.675151824951172,,270.0478820800781,5.639194965362549,22.233545303344727,7.084918975830078,11.670907974243164,24.70758819580078,,22.380786895751953,4.641515731811523,10.534546852111816,20.329397201538086,,8.48797607421875,6.167448997497559,5.53700590133667,,1.9768248796463013,15.674223899841309,12.465893745422363,,,,19.870019912719727,,21.458206176757812,28.621337890625,3.3076977729797363,14.550405502319336,17.289854049682617,10.47761058807373,9.709955215454102,9.634610176086426,8.8076171875,14.754365921020508,8.461800575256348,26.21329689025879,,,,26.54911994934082,8.819374084472656,28.89829444885254
2018-01-12,17.170604705810547,,13.08721923828125,,26.399999618530273,49.29723358154297,6.148452281951904,10.984922409057617,13.510834693908691,14.336658477783203,16.38663673400879,8.019038200378418,3.9411354064941406,6.063290596008301,37.6573600769043,35.47152328491211,13.240450859069824,1.815199375152588,,16.236581802368164,12.642731666564941,1.3947460651397705,12.74201488494873,8.675925254821777,6.932982444763184,40.53800582885742,9.71356201171875,6.128255844116211,17.651296615600586,14.062237739562988,14.796515464782715,20.1210880279541,3.4725000858306885,20.28607940673828,11.873785972595215,15.359800338745117,19.783361434936523,8.005891799926758,3.9869613647460938,,29.22767448425293,,277.4742431640625,5.654061794281006,22.213943481445312,7.113894462585449,11.510849952697754,24.91936492919922,,22.35772705078125,4.523176670074463,10.514183044433594,20.237253189086914,,8.48797607421875,6.21483850479126,5.553055286407471,,1.9149242639541626,15.665166854858398,12.515439987182617,,,,19.51030921936035,,21.35310935974121,28.791297912597656,3.297393321990967,14.691977500915527,17.227279663085938,10.47761058807373,9.740203857421875,9.619132995605469,8.947834014892578,14.786855697631836,8.634172439575195,26.36464500427246,,,,26.309877395629883,8.885396957397461,28.13938331604004
2018-01-15,17.345489501953125,,13.156058311462402,,26.979999542236328,50.9869270324707,6.166680812835693,11.03963851928711,13.543590545654297,14.437620162963867,16.364152908325195,8.019038200378418,3.993684768676758,6.0595622062683105,37.62880325317383,36.300689697265625,13.256938934326172,1.8072843551635742,,16.16976547241211,13.156462669372559,1.3899673223495483,12.654918670654297,8.671762466430664,7.111090183258057,40.521827697753906,9.948623657226562,6.159176349639893,17.74684715270996,14.24627685546875,15.050982475280762,19.9720401763916,3.494999885559082,20.239728927612305,12.067214965820312,15.847299575805664,20.10814666748047,7.9256744384765625,3.9695000648498535,,29.091543197631836,,281.2998962402344,5.7234344482421875,22.351158142089844,7.092162609100342,11.504179000854492,25.55470085144043,,22.743999481201172,4.496878623962402,10.548121452331543,20.522052764892578,,8.48797607421875,6.248687744140625,5.5691046714782715,,1.8969531059265137,15.690521240234375,12.594714164733887,,,,20.1269588470459,,21.313703536987305,28.80829429626465,3.3317408561706543,14.786357879638672,17.40607261657715,10.590991973876953,9.974632263183594,9.606751441955566,9.004197120666504,14.828901290893555,8.853550910949707,26.316219329833984,,,,26.127307891845703,8.944475173950195,27.8920955657959
