date,ABEV3,ALPA4,ARZZ3,ASAI3,AURE3,AZUL4,B3SA3,BBAS3,BBDC3,BBDC4,BBSE3,BEEF3,BPAC11,BRAP4,BRFS3,BRKM5,CASH3,CBAV3,CCRO3,CIEL3,CMIG4,CMIN3,COGN3,CPFE3,CPLE6,CRFB3,CSAN3,CSMG3,CSNA3,CVCB3,CYRE3,DIRR3,DXCO3,ECOR3,EGIE3,ELET3,ELET6,EMBR3,ENEV3,ENGI11,EQTL3,EZTC3,FLRY3,GGBR4,GMAT3,GOAU4,GOLL4,HAPV3,HYPE3,IGTI11,IRBR3,ITSA4,ITUB4,JBSS3,KLBN11,LREN3,LWSA3,MDIA3,MGLU3,MOVI3,MRFG3,MRVE3,MULT3,NTCO3,PCAR3,PETR3,PETR4,PETZ3,PRIO3,PSSA3,QUAL3,RADL3,RAIL3,RAIZ4,RDOR3,RECV3,RENT3,RRRP3,SANB11,SBSP3,SIMH3,SLCE3,SMTO3,SOMA3,STBP3,SUZB3,TAEE11,TIMS3,TOTS3,TRPL4,UGPA3,USIM5,VALE3,VAMO3,VBBR3,VIVA3,VIVT3,WEGE3,YDUQ3
2018-01-02,17.24214744567871,13.46201229095459,49.534271240234375,,,27.149999618530273,6.159893035888672,22.805360794067383,13.73400592803955,14.817996978759766,16.75876808166504,8.47838020324707,3.8793625831604004,5.740495681762695,35.47749710083008,34.79024124145508,,,13.722746849060059,16.42673110961914,2.6280391216278076,,17.5061092376709,13.060381889343262,1.50250244140625,13.718915939331055,9.164328575134277,8.322623252868652,6.042932510375977,40.34388732910156,9.478489875793457,3.9166500568389893,5.781957626342773,11.27562141418457,19.72406005859375,15.88877010345459,17.079259872436523,20.40071678161621,3.5250000953674316,21.259082794189453,11.769739151000977,16.280839920043945,21.929269790649414,8.500913619995117,,3.609111785888672,15.1899995803833,,29.177087783813477,,254.01187133789062,5.600280284881592,21.728248596191406,7.93204402923584,13.923200607299805,25.486167907714844,,44.123268127441406,2.285930871963501,5.940617561340332,5.213025093078613,10.739914894104004,20.65435218811035,,8.205850601196289,6.618551254272461,6.033175468444824,,1.7062594890594482,13.217690467834473,24.586257934570312,16.468698501586914,12.93144416809082,,,,19.674448013305664,,21.23465347290039,29.925188064575195,,4.402798652648926,15.473406791687012,,2.8237144947052,17.041221618652344,11.767680168151855,10.360052108764648,9.410733222961426,9.331453323364258,14.866903305053711,7.781023025512695,26.179433822631836,,,,27.067243576049805,8.740135192871094,29.398006439208984
2018-01-03,17.28189468383789,13.133109092712402,51.02998352050781,,,27.059999465942383,6.264756202697754,23.09623146057129,13.792431831359863,14.886113166809082,16.77044677734375,8.416096687316895,3.916308879852295,5.794763088226318,35.22048568725586,34.49675750732422,,,13.623310089111328,16.658571243286133,2.605384111404419,,17.658838272094727,12.899059295654297,1.474447250366211,13.630349159240723,9.164328575134277,8.12523365020752,6.265712738037109,40.10933303833008,9.521185874938965,3.802638053894043,5.887083530426025,11.429460525512695,19.591535568237305,15.685826301574707,16.805553436279297,21.176179885864258,3.5350000858306885,21.259082794189453,11.793021202087402,16.148353576660156,21.50010108947754,8.48780345916748,,3.5971803665161133,15.010000228881836,,28.72259521484375,,254.01187133789062,5.666285037994385,21.876808166503906,7.7592668533325195,13.747245788574219,25.81060218811035,,44.4375,2.2571041584014893,6.08610200881958,5.15589714050293,10.896080017089844,20.737255096435547,,8.205850601196289,6.702570915222168,6.087857723236084,,1.7372097969055176,13.457345962524414,24.77808952331543,16.060850143432617,12.543203353881836,,,,19.942419052124023,,21.05948257446289,29.388954162597656,,4.441014766693115,15.489598274230957,,2.8237144947052,16.914247512817383,11.784130096435547,10.367900848388672,9.610495567321777,9.14175033569336,14.720107078552246,8.040390014648438,26.022560119628906,,,,26.282686233520508,8.607392311096191,29.42404556274414
2018-01-04,17.18650245666504,13.117815017700195,52.64006805419922,,,27.229999542236328,6.305086135864258,23.317846298217773,14.043593406677246,15.13035774230957,16.805482864379883,8.384954452514648,3.9306764602661133,5.95949649810791,35.60124588012695,35.0202751159668,,,13.673027038574219,16.672212600708008,2.575176239013672,,17.89746856689453,12.804954528808594,1.4663424491882324,13.382362365722656,9.142790794372559,7.999966144561768,6.460647106170654,40.432861328125,9.59946346282959,3.8428781032562256,6.035497665405273,11.655695915222168,19.337528228759766,15.584357261657715,17.047975540161133,21.67327117919922,3.507499933242798,20.919631958007812,11.660273551940918,16.413320541381836,21.069948196411133,8.946605682373047,,3.728421449661255,15.579999923706055,,28.933609008789062,,256.19708251953125,5.772910118103027,22.33236312866211,7.774974822998047,13.7701997756958,25.954795837402344,,45.04851531982422,2.311297655105591,6.263916492462158,5.15589714050293,10.825095176696777,20.714387893676758,,8.205850601196289,6.75985860824585,6.098793983459473,,1.7973132133483887,13.468242645263672,25.105798721313477,16.18465805053711,12.563112258911133,,,,20.227685928344727,,21.3125057220459,28.818126678466797,,4.42349910736084,15.465316772460938,,2.7824318408966064,16.9595947265625,11.597689628601074,10.320810317993164,9.551190376281738,8.891121864318848,14.892009735107422,8.494282722473145,26.12923240661621,,,,26.570362091064453,8.523553848266602,29.302532196044922
2018-01-05,17.250097274780273,13.347280502319336,50.871612548828125,,,27.200000762939453,6.396503448486328,23.317846298217773,14.047845840454102,15.216063499450684,16.916427612304688,8.47838020324707,3.9956653118133545,6.102911949157715,37.352752685546875,35.86901092529297,,,13.731032371520996,16.863143920898438,2.5789527893066406,,17.859289169311523,12.596579551696777,1.4900332689285278,13.28493881225586,9.237558364868164,8.064498901367188,6.606846809387207,40.230655670166016,9.74889850616455,3.849583625793457,6.0602335929870605,11.492806434631348,19.436920166015625,15.440605163574219,16.61786651611328,20.529958724975586,3.5250000953674316,21.22750473022461,11.7750825881958,16.00115203857422,21.374019622802734,8.835180282592773,,3.7403523921966553,15.65999984741211,,29.201433181762695,,259.5126037597656,5.78306245803833,22.396751403808594,7.837800979614258,13.640151023864746,25.79618263244629,,44.83029556274414,2.265751600265503,6.468038558959961,5.198744297027588,10.981258392333984,20.865901947021484,,8.205850601196289,6.813327789306641,6.135248184204102,,1.8985506296157837,13.729693412780762,25.297630310058594,16.468698501586914,12.543203353881836,,,,19.93378448486328,,21.53957748413086,29.146785736083984,,4.506300449371338,15.295370101928711,,2.881509304046631,16.914247512817383,11.6525239944458,10.407143592834473,9.757198333740234,9.033742904663086,14.922916412353516,8.129548072814941,26.537109375,,,,26.6357421875,8.558485984802246,28.903268814086914
2018-01-08,17.21830177307129,13.079569816589355,50.2469367980957,,,26.90999984741211,6.426078796386719,23.373245239257812,14.047845840454102,15.21177864074707,17.01569938659668,8.19031810760498,4.044625759124756,6.209504127502441,37.790626525878906,35.932464599609375,,,13.540440559387207,17.047250747680664,2.5865042209625244,,17.067026138305664,12.798234939575195,1.496268391609192,12.939531326293945,9.157868385314941,8.113845825195312,6.927093982696533,40.0608024597168,9.798709869384766,3.8294641971588135,6.041682720184326,11.628548622131348,19.547359466552734,15.542078971862793,16.65696907043457,20.579668045043945,3.452500104904175,20.880157470703125,11.929357528686523,16.074758529663086,20.817794799804688,9.143232345581055,,3.7880759239196777,15.699999809265137,,28.901142120361328,,263.7323303222656,5.777987003326416,22.32246208190918,7.853507995605469,13.884950637817383,25.666406631469727,,43.992340087890625,2.266040802001953,6.28859806060791,5.1059088706970215,10.761211395263672,20.60575294494629,,8.205850601196289,6.920263767242432,6.208157062530518,,2.0423195362091064,13.660700798034668,25.017879486083984,16.259315490722656,12.702481269836426,,,,19.83868980407715,,21.956525802612305,29.743562698364258,,4.482415199279785,15.21444034576416,,2.7824318408966064,17.32236671447754,11.597689628601074,10.26587200164795,9.750954627990723,8.986663818359375,15.027219772338867,8.218705177307129,27.126964569091797,,,,26.916872024536133,8.628351211547852,29.00742530822754
2018-01-09,17.170602798461914,13.171356201171875,49.93019104003906,,,26.799999237060547,6.334662437438965,23.151634216308594,13.941422462463379,15.070375442504883,16.957307815551758,8.174747467041016,4.0169525146484375,6.139734268188477,37.933414459228516,36.01178741455078,,,13.548727989196777,16.740398406982422,2.5336410999298096,,17.277021408081055,12.838563919067383,1.4856693744659424,12.81553840637207,8.905876159667969,8.092967987060547,7.115066051483154,40.505653381347656,9.756014823913574,3.856290578842163,6.122073173522949,11.447559356689453,19.547359466552734,14.92479133605957,15.953153610229492,20.11240005493164,3.4749999046325684,21.132774353027344,11.929357528686523,15.74354362487793,20.21706771850586,9.195666313171387,,3.7821097373962402,15.319999694824219,,29.055343627929688,,263.3555603027344,5.686596870422363,22.079822540283203,7.586489200592041,13.731947898864746,25.817808151245117,,43.992340087890625,2.2115583419799805,6.174407005310059,5.04163932800293,10.825095176696777,20.665786743164062,,8.205850601196289,6.920263767242432,6.208157062530518,,1.8256677389144897,13.755114555358887,24.346473693847656,16.03171730041504,12.294329643249512,,,,19.674448013305664,,21.801048278808594,29.337060928344727,,4.484008312225342,15.190159797668457,,2.64207124710083,17.50374984741211,11.383830070495605,10.281567573547363,9.754075050354004,9.044821739196777,14.969274520874023,8.307862281799316,27.026561737060547,,,,26.84495735168457,8.76807975769043,28.512678146362305
2018-01-10,17.170602798461914,12.811859130859375,49.974178314208984,,,26.450000762939453,6.278199195861816,23.0546817779541,13.852030754089355,14.911821365356445,16.887235641479492,8.174747467041016,3.9892795085906982,6.075778961181641,37.209964752197266,35.62311553955078,,,13.21725845336914,16.501741409301758,2.5714004039764404,,17.611108779907227,13.443524360656738,1.4906569719314575,12.576408386230469,8.733572959899902,8.098661422729492,7.135950565338135,40.52183151245117,9.549650192260742,3.8764100074768066,6.047866344451904,10.995087623596191,19.475570678710938,14.324419021606445,15.296259880065918,20.17205047607422,3.4000000953674316,20.46176528930664,11.837868690490723,15.714103698730469,20.877124786376953,9.071133613586426,,3.7940421104431152,15.0,,28.94171714782715,,263.2802429199219,5.686596870422363,22.00554847717285,7.60219669342041,13.464191436767578,25.125682830810547,,42.6568603515625,2.2340431213378906,6.207032680511475,5.0344977378845215,10.846389770507812,20.55715560913086,,8.205850601196289,6.790411472320557,6.1243109703063965,,1.8011071681976318,14.052872657775879,24.39443016052246,15.541936874389648,12.264464378356934,,,,19.631223678588867,,21.760486602783203,28.748939514160156,,4.593878746032715,15.020211219787598,,2.675097703933716,17.603513717651367,11.230292320251465,10.038265228271484,9.729104042053223,9.00051212310791,14.85338306427002,8.307862281799316,26.650060653686523,,,,26.50497817993164,8.698213577270508,28.53872299194336
2018-01-11,17.36933708190918,12.796560287475586,50.59006118774414,,,26.549999237060547,6.380371570587158,23.581008911132812,14.047845840454102,15.21177864074707,16.986501693725586,8.174747467041016,3.9807636737823486,6.259894371032715,37.46697998046875,36.6542854309082,,,13.21725845336914,16.488100051879883,2.624263286590576,,16.971576690673828,13.880438804626465,1.4900332689285278,12.682687759399414,8.821878433227539,8.197356224060059,7.553666114807129,40.92624282836914,9.926796913146973,3.8831164836883545,6.091153144836426,10.94983959197998,19.282312393188477,14.54427433013916,15.679448127746582,20.380830764770508,3.450000047683716,20.667015075683594,11.907829284667969,15.787701606750488,20.454389572143555,9.811769485473633,,3.984936237335205,14.600000381469727,,29.063467025756836,,271.2675476074219,5.777987003326416,22.466064453125,7.680732727050781,13.38769245147705,25.233829498291016,,44.09708786010742,2.238079309463501,6.378318786621094,5.04163932800293,11.016751289367676,20.814441680908203,,8.205850601196289,6.95845365524292,6.288356304168701,,1.9768248796463013,14.339742660522461,24.546293258666992,15.7586030960083,12.523292541503906,,,,20.054800033569336,,22.084962844848633,29.12948989868164,,4.600248336791992,14.971656799316406,,2.69161057472229,17.54003143310547,11.148039817810059,10.077506065368652,9.716620445251465,8.871735572814941,14.911331176757812,8.753649711608887,27.17089080810547,,,,27.570674896240234,8.86589241027832,29.41536521911621
2018-01-12,17.170602798461914,13.087218284606934,49.798221588134766,,,26.399999618530273,6.348106384277344,23.636417388916016,14.047845840454102,15.21177864074707,17.021533966064453,8.019038200378418,3.991407632827759,6.302530765533447,37.6573600769043,36.9874382019043,,,13.308415412902832,16.433557510375977,2.597831964492798,,16.236583709716797,13.564515113830566,1.4557440280914307,12.957244873046875,8.981258392333984,8.161295890808105,7.316961288452148,40.53800582885742,9.997957229614258,3.762397527694702,6.128256320953369,11.212274551391602,19.38170051574707,14.21448802947998,15.460484504699707,20.13228416442871,3.4725000858306885,20.73017120361328,12.002906799316406,15.537457466125488,20.32831382751465,9.811769485473633,,4.086349010467529,14.609999656677246,,29.623470306396484,,278.72735595703125,5.79321813583374,22.446264266967773,7.712146282196045,13.204092979431152,25.450111389160156,,44.90011978149414,2.2357723712921143,6.255971431732178,4.9130988121032715,10.995455741882324,20.72010040283203,,8.205850601196289,7.011921405792236,6.306581497192383,,1.9149242639541626,14.768227577209473,24.4743595123291,15.749496459960938,12.573067665100098,,,,19.69173812866211,,21.976802825927734,29.302467346191406,,4.5859174728393555,15.117324829101562,,2.633815288543701,17.476547241210938,11.148039817810059,10.108902931213379,9.70101261138916,9.01297378540039,14.944161415100098,8.931966781616211,27.327762603759766,,,,27.322233200073242,8.93226432800293,28.64287757873535
2018-01-15,17.345487594604492,13.156059265136719,51.505088806152344,,,26.979999542236328,6.366927623748779,23.754146575927734,14.081900596618652,15.318902969360352,16.998180389404297,8.019038200378418,4.044625759124756,6.298654556274414,37.62880325317383,37.85203552246094,,,13.32498550415039,16.194887161254883,2.5865042209625244,,16.169767379760742,14.115699768066406,1.450756311416626,12.868677139282227,8.976950645446777,8.214439392089844,7.504931926727295,40.52183151245117,10.239901542663574,3.862997055053711,6.159176349639893,11.492806434631348,19.486616134643555,14.400522232055664,15.726370811462402,19.983154296875,3.494999885559082,20.682804107666016,12.198439598083496,16.030590057373047,20.662050247192383,9.713455200195312,,4.068453311920166,14.800000190734863,,29.48549461364746,,282.57037353515625,5.864300727844238,22.58490753173828,7.688587188720703,13.196438789367676,26.098987579345703,,44.95249557495117,2.274399995803833,6.345691204071045,4.884533882141113,11.0309476852417,21.011695861816406,,8.205850601196289,7.050112724304199,6.3248090744018555,,1.8969531059265137,15.127717971801758,24.6262264251709,15.774985313415527,12.652706146240234,,,,20.314130783081055,,21.936246871948242,29.31976318359375,,4.633686542510986,15.21444034576416,,2.617302179336548,17.65793228149414,11.268681526184082,10.352203369140625,9.688529014587402,9.069745063781738,14.986656188964844,9.15891170501709,27.277563095092773,,,,27.13262367248535,8.991646766662598,28.39116668701172
